Index,Date,Time,GOES,Pos_X,Pos_Y,T_vth,E_break,gamma,T_vth_kappa,T_kappa,kappa,d_max,d_com,A,F_th,F_nth,tau_cross,tau_loss,n,goes_corr_high,goes_corr_low,goes_lag_high,goes_lag_low,gamma_err,kappa_err,level
41,2003 Oct 22,18:43:08,C6.0,-937.18,-285.063,24.4749764529,17.1687570299,7.17079666683,26.0958409669,11.4064719665,7.362173966,0.280699759722,0.311942458153,1.58995195044e+18,8835.50176007,21091.685051,0.173588573933,1.19495375676,9960017809.9,,,,,0.457265962312,0.341989493177,6e-06
42,2003 Oct 22,21:56:24,M2.1,-943.015,-284.672,23.6218163347,17.4145767689,6.39536118507,15.3404310669,17.2561836295,7.44995415211,-0.4873508811,-1.45773434639,2.67111946366e+18,14854623.6581,7848312.602,0.224996507168,1.21022172198,9834363805.52,0.831753075123,,0.0,,0.335447769903,0.323519054294,2.1e-05
43,2003 Oct 23,01:06:24,C4.0,-938.833,-291.908,,,,,,,,,,,,,,,,,,,,,4e-06
44,2003 Nov 04,14:47:28,C7.5,967.937,161.74,24.4785658345,17.6441065925,6.29146126338,11.3006231531,18.518424682,7.38505077362,-1.66720867157,-2.76367735863,2.37432828997e+18,10864.3029118,3339.48267486,0.212128728628,1.67685715411,7097659255.06,,,,,0.374941045542,0.25921710439,7.5e-06
45,2003 Nov 04,15:30:08,C5.6,956.478,187.426,18.921622335,17.1322994232,4.70657102267,15.7174658376,8.29257753794,3.93471550941,0.202394396067,0.0649471282959,3.27530110312e+18,353256.590144,67991.9739706,0.249146476388,1.63709024532,7270070011.91,0.467615991831,0.427474081516,24.0,-8.0,0.217093026074,0.195965129787,5.6e-06
46,2003 Nov 05,01:58:53,C7.2,965.837,169.994,28.6761323865,16.2940510114,5.09752750397,28.223495853,9.58628804074,4.63131852945,-1.54033303261,-4.91316223145,1.9503410757e+18,3328814.66169,6914852.21151,0.192258000374,2.28772514804,5202443444.52,,,,,0.39286506697,0.544875841077,7.2e-06
47,2003 Nov 18,09:43:58,M4.5,-1002.44,-232.209,16.4662884133,15.2198193073,6.45704770088,15.5109180241,11.7731785033,6.99286532402,19.6843185425,12.7766256332,3.17460425484e+18,275688.438919,854029.281609,0.245286658406,0.421312596316,28249240120.9,,,,,0.117217345523,0.404975390952,4.5e-05
48,2003 Nov 18,22:17:41,C6.1,-939.591,-271.21,29.3958029048,14.9498513937,3.23252403736,20.3813773457,15.913677199,2.33689934015,-0.276347786188,-0.336046606302,1.93974137129e+18,112815.549872,2787.09150747,0.191734835505,1.61115613871,7387093288.68,0.711144328117,0.798577904701,0.0,0.0,0.18120076563,0.179026259337,6.1e-06
49,2003 Nov 19,10:07:18,C2.7,-931.538,-272.882,13.1806004122,11.0822153091,5.03725910187,11.4668284176,0.315388295475,3.85063596567,-0.611194491386,-0.659683942795,3.80528522404e+18,12760.7512856,5246.70230662,0.268548488617,2.49683208249,4766744541.12,0.780229091644,0.540248930454,8.0,4.0,0.241091765836,0.182225975171,2.7e-06
50,2004 Mar 05,08:54:21,C6.6,-948.029,-282.678,29.1087329818,20.5265208653,5.15947430474,20.7249368719,11.5331025131,4.82086198671,-1.42372918129,-1.35165333748,1.07056767137e+18,37353.5958671,75585.787157,0.142441391945,3.52810969625,3373410047.86,0.350245147943,0.395614475012,8.0,4.0,1.5954643263,1.01932532909,6.6e-06
51,2004 Mar 24,23:25:22,M1.5,-941.12,245.577,24.4147629057,19.3114406041,6.34360940116,15.6408081056,12.726139395,7.28045436314,0.0,-0.698178887367,1.58465216696e+18,19013.450134,135148.051341,0.173299014568,0.725122643185,16413445106.4,0.617799341679,0.696838676929,20.0,20.0,0.269022010898,0.233671575493,1.5e-05
52,2004 Jul 15,22:27:05,C7.9,-944.005,162.556,29.8470940047,19.4620554447,6.45800435543,30.7019333476,22.8885745828,6.9031060338,-1.32599365711,-1.12638807297,2.11993593392e+18,6604.60461909,6708.37664389,0.200442820787,1.12145920379,10612745126.2,0.911458790302,0.684264421463,0.0,-12.0,0.609858792219,0.716750882357,7.9e-06
53,2004 Jul 17,03:46:25,C4.2,-930.506,146.218,21.9553285358,17.3219697475,4.24339306355,15.6368215095,10.4974036643,3.42030286789,-0.869475126266,-0.961058020592,1.71184834498e+18,8409.26688192,693.296328879,0.180119931698,0.935758369397,12718839701.1,0.809945225716,0.776875019073,16.0,16.0,0.0438334267162,0.0985465061651,4.2e-06
54,2004 Aug 18,08:41:05,C6.1,936.247,-212.163,27.1514073677,18.758941412,5.70959937572,11.6640909187,12.5111014886,5.18859624863,-0.644650638103,-0.881285488605,3.03680823496e+18,198238.897844,75187445.8871,0.239904180169,2.64556342607,4498762185.03,0.607931435108,0.593291401863,-4.0,-4.0,0.663258879115,0.321941646433,6.1e-06
55,2004 Aug 19,06:54:04,M3.0,943.031,-213.153,28.365346785,22.6023148128,6.06822293145,17.5546001152,10.2058064133,6.13737344742,0.716495275497,0.548596143723,1.43095679663e+18,13017.6473974,31.4800970161,0.164680570364,0.425107751415,27997044654.4,0.90440261364,0.845661461353,0.0,0.0,0.227271946455,0.207086960576,3e-05
